Make;Model;Year;Engine_Fuel_Type;Engine_HP;Engine_Cylinders;Transmission_Type;Driven_Wheels;Number_of_Doors;Vehicle_Size;Vehicle_Style;highway_L_100Km;city_L_100Km;Popularity;Price
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s3_2009_2013;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_2;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s02_10000_20000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;S_4dr_Hatchback;s2_10_15;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;AUTOMATIC;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
Mazda;S_3;s4_2013_up;regular_unleaded;s02_100_200;s3_4_6;MANUAL;front_wheel_drive;s2_3_up;Compact;Sedan;s3_15_20;s3_10_15;s02_500_1000;s03_20000_30000
